Province,Year,Electricity production (billion kilowatt-hours),Hydropower (billion kilowatt-hours),Thermal power generation (billion kilowatt-hours),Hydro (%),Thermal (%),Renewable energy (%)
Jiangxi,2017,1160.0,153.21,949.0,0.13207758620689655,0.8181034482758621,4.98189655172413
Jiangxi,2018,1286.0,120.28,1073.43,0.0935303265940902,0.8347045101088647,7.176516329704508
Jiangxi,2019,1376.0,167.74,1100.96,0.12190406976744186,0.8001162790697675,7.797965116279071
Jiangxi,2020,1445.0,144.89,1167.39,0.10026989619377162,0.8078823529411765,9.184775086505192
Jiangxi,2021,1563.0,135.55,1243.82,0.08672424824056303,0.7957901471529111,11.748560460652591
Jiangxi,2022,1725.0,162.04,1332.63,0.09393623188405796,0.7725391304347826,13.35246376811594
Jilin,2012,692.0,65.78,577.62,0.0950578034682081,0.8347109826589596,7.0231213872832265
Jilin,2013,779.0,118.48,606.13,0.15209242618741978,0.7780872913992298,6.982028241335037
Jilin,2014,781.0,72.55,647.82,0.09289372599231754,0.8294750320102433,7.76312419974392
Jilin,2015,731.0,58.42,597.05,0.07991792065663475,0.8167578659370724,10.332421340629283
Jilin,2016,760.0,82.42,592.28,0.10844736842105264,0.7793157894736842,11.223684210526319
Jilin,2017,760.0,63.47,620.75,0.08351315789473684,0.8167763157894737,9.971052631578948
Jilin,2018,869.0,63.4,676.94,0.07295742232451093,0.778987341772152,14.805523590333703
Jilin,2019,946.0,66.76,725.24,0.0705708245243129,0.7666384778012685,16.279069767441868
Jilin,2020,1019.0,93.84,750.21,0.09209028459273798,0.7362217860647694,17.168792934249268
Jilin,2021,1026.0,104.86,730.69,0.10220272904483431,0.7121734892787525,18.562378167641324
Jilin,2022,1057.0,118.0,678.79,0.11163670766319773,0.6421854304635761,24.61778618732261
Liaoning,2012,1441.0,38.24,1304.35,0.026537126995142265,0.9051700208188758,6.829285218598202
Liaoning,2013,1554.0,61.11,1333.65,0.039324324324324325,0.8582046332046332,10.247104247104243
Liaoning,2014,1656.0,41.8,1369.64,0.025241545893719804,0.8270772946859904,14.76811594202897
Liaoning,2015,1665.0,32.28,1357.71,0.01938738738738739,0.8154414414414415,16.51711711711711
Liaoning,2016,1779.0,47.03,1399.56,0.02643620011242271,0.7867116357504216,18.685216413715565
Liaoning,2017,1844.0,30.31,1415.04,0.01643709327548807,0.7673752711496746,21.61876355748373
Liaoning,2018,1986.0,33.57,1453.8,0.01690332326283988,0.73202416918429,25.107250755287012
Liaoning,2019,2073.0,43.58,1476.74,0.02102267245537868,0.7123685479980705,26.66087795465508
Liaoning,2020,2135.0,56.55,1506.84,0.02648711943793911,0.7057798594847775,26.773302107728338
Liaoning,2021,2258.0,78.42,1496.78,0.034729849424269266,0.6628786536758193,30.23914968999114
Liaoning,2022,2257.0,79.7,1394.12,0.03531236154186974,0.6176871953921134,34.70004430660168
Ningxia,2012,1010.0,19.06,954.7,0.01887128712871287,0.9452475247524753,3.58811881188118
Ningxia,2013,1105.0,18.76,1011.6,0.01697737556561086,0.915475113122172,6.754751131221715
Ningxia,2014,1196.0,17.46,1086.89,0.01459866220735786,0.9087709030100335,7.663043478260867
Ningxia,2015,1155.0,15.53,1017.09,0.013445887445887445,0.8805974025974026,10.595670995670991
Ningxia,2016,1144.0,14.02,953.56,0.012255244755244754,0.8335314685314685,15.421328671328672
Ningxia,2017,1406.0,15.45,1167.14,0.010988620199146515,0.8301137980085349,15.889758179231862
Ningxia,2018,1672.0,19.76,1367.77,0.01181818181818182,0.8180442583732057,17.013755980861244
Ningxia,2019,1766.0,21.87,1443.87,0.01238391845979615,0.8175934314835787,17.00226500566252
Ningxia,2020,1882.0,22.5,1529.99,0.011955366631243358,0.8129596174282678,17.508501594048887
Ningxia,2021,2083.0,20.72,1597.68,0.009947191550648103,0.7670091214594336,22.304368698991837
Ningxia,2022,2235.0,18.45,1721.16,0.00825503355704698,0.7700939597315437,22.165100671140937
Qinghai,2012,584.0,455.5,114.7,0.7799657534246576,0.1964041095890411,2.363013698630134
Qinghai,2013,611.0,435.49,134.43,0.7127495908346972,0.2200163666121113,6.723404255319146
Qinghai,2014,581.0,391.28,129.86,0.673459552495697,0.2235111876075732,10.302925989672982
Qinghai,2015,566.0,364.33,122.0,0.6436925795053003,0.21554770318021202,14.075971731448764
Qinghai,2016,553.0,300.85,152.19,0.5440325497287523,0.2752079566003617,18.075949367088604
Qinghai,2017,615.0,328.14,161.24,0.5335609756097561,0.2621788617886179,20.426016260162598
Qinghai,2018,811.0,517.9,124.36,0.6385943279901356,0.15334155363748458,20.80641183723798
Qinghai,2019,886.0,554.04,107.37,0.6253273137697517,0.12118510158013544,25.348758465011283
Qinghai,2020,952.0,599.0,104.54,0.6292016806722689,0.1098109243697479,26.098739495798316
Qinghai,2021,996.0,504.94,150.01,0.5069678714859438,0.15061244979919677,34.24196787148595
Qinghai,2022,998.0,426.78,159.54,0.42763527054108214,0.15985971943887775,41.250501002004
Shaanxi,2012,1342.0,88.91,1252.07,0.06625186289120714,0.9329880774962742,0.0760059612518682
Shaanxi,2013,1512.0,110.87,1391.71,0.07332671957671957,0.9204431216931217,0.6230158730158752
Shaanxi,2014,1630.0,116.89,1490.57,0.07171165644171779,0.9144601226993865,1.382822085889579
Shaanxi,2015,1623.0,134.26,1452.38,0.08272335181762168,0.8948736906962416,2.2402957486136743
Shaanxi,2016,1757.0,125.14,1581.48,0.07122367672168468,0.9001024473534434,2.8673875924871917
Shaanxi,2017,1846.0,140.15,1613.54,0.07592091007583966,0.8740736728060672,5.000541711809314
Shaanxi,2018,1920.0,137.01,1639.69,0.07135937499999999,0.8540052083333334,7.4635416666666625
Shaanxi,2019,2193.0,154.98,1860.45,0.0706703146374829,0.848358413132695,8.097127222982214
Shaanxi,2020,2379.0,128.11,2037.87,0.05385035729298025,0.856607818411097,8.954182429592272
Shaanxi,2021,2740.0,141.35,2281.76,0.05158759124087591,0.8327591240875913,11.565328467153279
Shaanxi,2022,2852.0,87.3,2395.88,0.03061009817671809,0.840070126227209,12.931977559607288
Shandong,2012,3212.0,1.23,3141.53,0.00038293897882938976,0.978060398505604,2.155666251556665
Shandong,2013,3549.0,3.45,3464.17,0.0009721048182586645,0.9760974922513385,2.2930402930402827
Shandong,2014,4655.0,5.19,4528.47,0.0011149301825993556,0.9728184747583244,2.606659505907627
Shandong,2015,4685.0,7.77,4545.63,0.0016584845250800426,0.9702518676627535,2.8089647812166496
Shandong,2016,5329.0,13.92,5142.88,0.0026121223494088948,0.9650741227247138,3.231375492587729
Shandong,2017,5775.0,6.46,5546.69,0.0011186147186147187,0.9604658008658008,3.841558441558446
Shandong,2018,5920.0,4.64,5524.79,0.0007837837837837838,0.9332415540540541,6.597466216216219
Shandong,2019,5897.0,5.23,5292.91,0.0008868916398168561,0.8975597761573681,10.155333220281504
Shandong,2020,5806.0,8.66,5141.56,0.0014915604547020324,0.8855597657595592,11.29486737857388
Shandong,2021,6210.0,12.36,5281.04,0.0019903381642512076,0.8504090177133655,14.760064412238327
Shandong,2022,6204.0,28.08,5091.57,0.004526112185686653,0.8206914893617021,17.478239845261122
Shanghai,2012,886.0,0.0,882.45,0.0,0.9959932279909707,0.40067720090293246
Shanghai,2013,959.0,0.0,951.51,0.0,0.9921897810218978,0.781021897810219
Shanghai,2014,793.0,0.0,789.53,0.0,0.99562421185372,0.4375788146280035
Shanghai,2015,793.0,0.0,787.55,0.0,0.9931273644388398,0.6872635561160245
Shanghai,2016,807.0,0.0,800.14,0.0,0.9914993804213135,0.850061957868653
Shanghai,2017,852.0,0.0,836.13,0.0,0.9813732394366197,1.8626760563380307
Shanghai,2018,848.0,0.0,823.75,0.0,0.9714033018867925,2.859669811320753
Shanghai,2019,822.0,0.0,797.45,0.0,0.9701338199513383,2.9866180048661706
Shanghai,2020,862.0,0.0,832.98,0.0,0.9663341067285383,3.3665893271461744
Shanghai,2021,1003.0,0.0,969.37,0.0,0.9664705882352941,3.352941176470592
Shanghai,2022,955.0,0.0,912.6,0.0,0.9556020942408378,4.439790575916225
Shanxi,2012,2546.0,43.79,2456.14,0.017199528672427338,0.9647054202670856,1.8095051060487033
Shanxi,2013,2641.0,38.87,2551.32,0.01471790988262022,0.9660431654676259,1.9238924649753852
Shanxi,2014,2679.0,33.06,2576.32,0.012340425531914894,0.9616722657708101,2.5987308697274947
Shanxi,2015,2449.0,29.26,2330.26,0.01194773376888526,0.9515149040424664,3.6537362188648337
Shanxi,2016,2535.0,37.5,2362.85,0.014792899408284023,0.9320907297830374,5.311637080867859
Shanxi,2017,2861.0,42.46,2607.22,0.014840964697658162,0.9112967493883257,7.386228591401611
Shanxi,2018,3203.0,43.18,2853.44,0.013481111458008118,0.8908648142366532,9.565407430533867
Shanxi,2019,3362.0,49.07,2960.8,0.014595478881618084,0.880666270077335,10.473825104104694
Shanxi,2020,3504.0,46.76,3032.5,0.013344748858447488,0.865439497716895,12.121575342465752
Shanxi,2021,3926.0,38.54,3229.0,0.009816607233825776,0.8224656138563423,16.771777890983188
Shanxi,2022,4299.0,36.39,3576.88,0.008464759246336358,0.8320260525703652,15.95091881832984
Sichuan,2012,2151.0,1562.46,587.9,0.7263877266387727,0.2733147373314737,0.029753602975357563
Sichuan,2013,2631.0,2002.01,628.1,0.7609312048650703,0.23873052071455722,0.03382744203725141
Sichuan,2014,3095.0,2501.14,589.62,0.8081227786752827,0.19050726978998384,0.136995153473346
Sichuan,2015,3130.0,2667.64,450.13,0.8522811501597444,0.14381150159744407,0.39073482428115536
Sichuan,2016,3274.0,2852.07,397.83,0.8711270616982285,0.12151191203420891,0.7361026267562576
