Province,Year,GDP,ID,"Energy consumption (10,000 tons of standard coal)","Coal consumption (10,000 tons)","Coke consumption (10,000 tons)","Crude oil consumption (10,000 tons)","Gasoline consumption (10,000 tons)","Kerosene consumption (10,000 tons)","Diesel consumption (10,000 tons)","Fuel oil consumption (10,000 tons)","Liquefied petroleum gas consumption (10,000 tons)",Natural gas consumption (billion cubic meters),"Carbon emissions (10,000 tons)",Carbon Emissions per GDP
Hainan,2020,5566.2,21,2270.64,1023.84,0.03,1135.06,112.31,106.05,88.17,35.15,10.09,48.64,7489.916402,0.13456067697890842
Chongqing,2020,25041.4,22,7621.87,4995.54,323.46,0.0,410.27,86.32,387.07,12.69,11.84,103.31,15387.94453,0.06145001689202681
Sichuan,2020,48501.6,23,21185.9,7501.62,1215.66,955.15,955.15,897.18,160.07,898.65,81.32,250.59,35138.08433,0.072447268399393
Guizhou,2020,17860.4,24,10621.44,11658.89,248.69,0.0,484.53,49.45,598.02,0.5,8.58,39.11,27158.51859,0.15205996836577007
Yunnan,2020,24555.7,25,12981.94,8201.22,1216.96,1027.62,467.21,94.56,672.61,0.01,8.46,18.7,26334.33072,0.10724324991753444
Shaanxi,2020,26014.1,27,13512.26,22594.58,796.68,1843.68,288.73,83.2,308.47,6.57,94.53,101.6,55345.0527,0.21275021123160134
Gansu,2020,8979.7,28,8104.71,7245.45,582.27,1483.92,209.57,7.6,281.55,2.23,3.29,35.38,22205.65871,0.24728731149147523
Qinghai,2020,3009.8,29,4150.36,1396.38,231.98,152.43,152.43,74.76,0.55,154.26,0.08,46.09,5937.241118,0.19726364270051167
Ningxia,2020,3956.3,30,7933.0,14628.85,764.82,380.97,20.88,0.01,115.94,155.98,1.18,29.39,32691.9119,0.8263254025225589
Xinjiang,2020,13800.7,31,18981.8,25504.36,1018.67,2471.55,257.1,51.03,505.34,0.69,0.44,138.55,64314.12646,0.466020755903686
Beijing,2019,35445.1,1,7360.0,182.8,0.0,936.99,500.9,697.8,161.87,0.48,49.43,189.4,11499.50664,0.032443149095361556
Tianjin,2019,14055.5,2,8241.0,3766.11,903.99,1693.35,284.46,110.58,316.92,50.0,67.23,110.61,19762.57327,0.14060384383337482
Hebei,2019,34978.6,3,32545.0,28738.44,9371.81,2177.54,423.19,32.17,464.49,103.77,38.42,165.48,94794.99292,0.2710085392783016
Shanxi,2019,16961.6,4,20859.0,51331.61,2526.53,0.0,247.64,45.69,500.2,0.48,6.94,91.7,109188.9581,0.6437420886001322
Inner Mongolia,2019,17212.5,5,25346.0,49035.95,2378.28,428.71,367.7,50.03,451.65,1.25,54.66,64.18,105466.6316,0.6127327907044299
Liaoning,2019,24855.3,6,23749.0,18710.78,3348.65,9894.5,880.13,52.78,1044.87,221.12,210.23,75.01,83962.41717,0.3378048833447997
Jilin,2019,11726.8,7,7132.0,8730.65,662.31,1035.48,182.71,33.68,346.18,28.15,26.96,30.17,24145.83201,0.20590299152368932
Heilongjiang,2019,13544.4,8,11614.0,14142.64,373.82,1534.76,430.27,69.77,392.18,20.95,108.16,44.37,36624.42839,0.27040273758896666
Shanghai,2019,37987.6,9,11696.0,4238.28,634.82,2597.22,493.87,753.68,449.3,658.32,96.62,99.4,27363.14474,0.07203178073897798
Jiangsu,2019,98656.8,10,32526.0,24902.05,4953.14,4121.21,1085.87,132.85,887.19,159.03,86.76,288.06,87262.48594,0.0884505537783508
Zhejiang,2019,62462.0,11,22393.0,13676.9,302.02,3472.3,789.2,176.37,730.48,303.79,266.34,147.2,47416.69241,0.075912862876629
Anhui,2019,36845.5,12,13870.0,16699.74,1161.43,658.92,655.95,16.59,689.1,21.49,70.55,59.64,42725.47502,0.11595846173888262
Fujian,2019,42326.6,13,13718.0,8718.32,871.35,2559.36,562.43,171.78,453.58,180.18,57.49,52.77,32248.78746,0.0761903565606498
Jiangxi,2019,24667.3,14,9665.0,7995.94,939.44,787.96,405.37,19.32,598.82,12.25,82.12,26.96,24236.09783,0.0982519279775249
Shandong,2019,70540.5,15,41390.0,43132.99,3619.44,13632.1,707.02,125.92,1335.92,2096.32,221.08,189.98,151523.5274,0.21480359141202574
Henan,2019,53717.8,16,22300.0,20045.45,1431.96,799.61,769.77,92.65,1007.54,9.77,219.61,109.34,53330.08061,0.09927822920894006
Hubei,2019,45429.0,17,17316.0,11768.33,1115.52,1516.49,864.59,128.47,976.32,148.83,204.75,68.46,38661.37346,0.08510284941337032
Hunan,2019,39894.1,18,16001.0,10664.02,982.53,935.12,819.89,65.03,672.61,83.05,114.61,32.9,31906.85056,0.07997887045954163
Guangdong,2019,107986.9,19,34142.0,16833.87,985.06,5632.08,1561.02,313.11,1672.22,346.25,911.07,206.18,70888.04607,0.0656450421949329
Guangxi,2019,21237.1,20,11270.0,8021.91,1079.35,1637.82,256.68,46.36,487.19,17.99,83.26,27.86,26594.68972,0.1252275014950252
Hainan,2019,5330.8,21,2264.0,1130.39,0.03,1138.16,107.6,131.04,87.76,6.25,28.55,46.15,7673.780486,0.14395176119906955
Chongqing,2019,23605.8,22,8889.0,5022.94,306.43,0.0,400.08,102.14,407.02,18.42,28.22,103.51,15544.31619,0.06584956320056935
